header,real:3
12000,-110.461659,55.535373
13000,-110.461659,55.535373
14000,-110.461659,55.535373
1000,-112.732386,57.193451
2000,-112.732386,57.193451
3000,-112.732386,57.193451
5000,-112.732386,57.193451
6000,-112.732386,57.193451
10000,-112.732386,57.193451
11000,-112.732386,57.193451
12000,-112.732386,57.193451
13000,-112.732386,57.193451
14000,-112.732386,57.193451
1000,-111.065822,55.971678
5000,-111.065822,55.971678
7000,-111.065822,55.971678
9000,-111.065822,55.971678
9500,-111.065822,55.971678
10000,-111.065822,55.971678
11000,-111.065822,55.971678
14000,-111.065822,55.971678
1000,-112.360351,54.836517
5000,-112.360351,54.836517
7000,-112.360351,54.836517
9000,-112.360351,54.836517
9500,-112.360351,54.836517
10000,-112.360351,54.836517
14000,-112.360351,54.836517
1000,-110.694582,55.797192
5000,-110.694582,55.797192
7000,-110.694582,55.797192
9000,-110.694582,55.797192
9500,-110.694582,55.797192
10000,-110.694582,55.797192
11000,-110.694582,55.797192
12000,-110.694582,55.797192
13000,-110.694582,55.797192
14000,-110.694582,55.797192
1000,-113.317003,55.899005
4000,-113.317003,55.899005
5000,-113.317003,55.899005
6000,-113.317003,55.899005
9000,-113.317003,55.899005
9500,-113.317003,55.899005
10000,-113.317003,55.899005
11000,-113.317003,55.899005
12000,-113.317003,55.899005
13000,-113.317003,55.899005
14000,-113.317003,55.899005
1000,-112.267267,56.248262
5000,-112.267267,56.248262
6000,-112.267267,56.248262
9000,-112.267267,56.248262
9500,-112.267267,56.248262
10000,-112.267267,56.248262
11000,-112.267267,56.248262
12000,-112.267267,56.248262
13000,-112.267267,56.248262
14000,-112.267267,56.248262
1000,-114.379929,55.02706
4000,-114.379929,55.02706
7000,-114.379929,55.02706
9000,-114.379929,55.02706
9500,-114.379929,55.02706
10000,-114.379929,55.02706
11000,-114.379929,55.02706
12000,-114.379929,55.02706
13000,-114.379929,55.02706
14000,-114.379929,55.02706
1000,-114.280686,55.375952
4000,-114.280686,55.375952
5000,-114.280686,55.375952
7000,-114.280686,55.375952
9000,-114.280686,55.375952
9500,-114.280686,55.375952
10000,-114.280686,55.375952
11000,-114.280686,55.375952
12000,-114.280686,55.375952
13000,-114.280686,55.375952
14000,-114.280686,55.375952
2000,-112.738302,57.208192
3000,-112.738302,57.208192
5000,-112.738302,57.208192
6000,-112.738302,57.208192
10000,-112.738302,57.208192
11000,-112.738302,57.208192
12000,-112.738302,57.208192
13000,-112.738302,57.208192
14000,-112.738302,57.208192
1000,-111.426106,55.040517
5000,-111.426106,55.040517
7000,-111.426106,55.040517
9000,-111.426106,55.040517
9500,-111.426106,55.040517
10000,-111.426106,55.040517
11000,-111.426106,55.040517
12000,-111.426106,55.040517
13000,-111.426106,55.040517
14000,-111.426106,55.040517
1000,-113.713806,55.040308
4000,-113.713806,55.040308
5000,-113.713806,55.040308
7000,-113.713806,55.040308
9000,-113.713806,55.040308
9500,-113.713806,55.040308
10000,-113.713806,55.040308
14000,-113.713806,55.040308
1000,-113.473623,56.000676
4000,-113.473623,56.000676
5000,-113.473623,56.000676
6000,-113.473623,56.000676
9000,-113.473623,56.000676
9500,-113.473623,56.000676
10000,-113.473623,56.000676
11000,-113.473623,56.000676
12000,-113.473623,56.000676
13000,-113.473623,56.000676
1000,-110.649135,55.66642
5000,-110.649135,55.66642
7000,-110.649135,55.66642
9000,-110.649135,55.66642
9500,-110.649135,55.66642
10000,-110.649135,55.66642
11000,-110.649135,55.66642
12000,-110.649135,55.66642
13000,-110.649135,55.66642
14000,-110.649135,55.66642
1000,-111.644175,55.244631
5000,-111.644175,55.244631
7000,-111.644175,55.244631
9000,-111.644175,55.244631
9500,-111.644175,55.244631
10000,-111.644175,55.244631
11000,-111.644175,55.244631
12000,-111.644175,55.244631
13000,-111.644175,55.244631
14000,-111.644175,55.244631
1000,-114.716518,55.419599
4000,-114.716518,55.419599
5000,-114.716518,55.419599
7000,-114.716518,55.419599
9000,-114.716518,55.419599
9500,-114.716518,55.419599
14000,-114.716518,55.419599
1000,-113.499793,55.855242
4000,-113.499793,55.855242
5000,-113.499793,55.855242
7000,-113.499793,55.855242
9000,-113.499793,55.855242
9500,-113.499793,55.855242
10000,-113.499793,55.855242
11000,-113.499793,55.855242
12000,-113.499793,55.855242
13000,-113.499793,55.855242
14000,-113.499793,55.855242
1000,-113.275787,57.164357
2000,-113.275787,57.164357
14000,-113.275787,57.164357
1000,-114.485772,55.332235
4000,-114.485772,55.332235
5000,-114.485772,55.332235
7000,-114.485772,55.332235
14000,-114.485772,55.332235
2000,-113.087897,56.98986
3000,-113.087897,56.98986
6000,-113.087897,56.98986
10000,-113.087897,56.98986
14000,-113.087897,56.98986
1000,-113.721031,55.346426
4000,-113.721031,55.346426
5000,-113.721031,55.346426
7000,-113.721031,55.346426
9000,-113.721031,55.346426
9500,-113.721031,55.346426
10000,-113.721031,55.346426
11000,-113.721031,55.346426
12000,-113.721031,55.346426
13000,-113.721031,55.346426
14000,-113.721031,55.346426
1000,-112.227657,55.695546
5000,-112.227657,55.695546
7000,-112.227657,55.695546
9000,-112.227657,55.695546
9500,-112.227657,55.695546
10000,-112.227657,55.695546
11000,-112.227657,55.695546
12000,-112.227657,55.695546
13000,-112.227657,55.695546
14000,-112.227657,55.695546
5000,-112.267267,56.30643
6000,-112.267267,56.30643
9000,-112.267267,56.30643
9500,-112.267267,56.30643
10000,-112.267267,56.30643
1000,-113.547371,55.608236
4000,-113.547371,55.608236
5000,-113.547371,55.608236
7000,-113.547371,55.608236
9000,-113.547371,55.608236
9500,-113.547371,55.608236
10000,-113.547371,55.608236
11000,-113.547371,55.608236
12000,-113.547371,55.608236
13000,-113.547371,55.608236
14000,-113.547371,55.608236
1000,-112.020649,55.782765
5000,-112.020649,55.782765
7000,-112.020649,55.782765
9000,-112.020649,55.782765
9500,-112.020649,55.782765
10000,-112.020649,55.782765
11000,-112.020649,55.782765
12000,-112.020649,55.782765
13000,-112.020649,55.782765
14000,-112.020649,55.782765
1000,-113.573257,55.782743
4000,-113.573257,55.782743
5000,-113.573257,55.782743
7000,-113.573257,55.782743
9000,-113.573257,55.782743
9500,-113.573257,55.782743
10000,-113.573257,55.782743
11000,-113.573257,55.782743
12000,-113.573257,55.782743
13000,-113.573257,55.782743
14000,-113.573257,55.782743
1000,-110.950543,56.219075
5000,-110.950543,56.219075
7000,-110.950543,56.219075
9000,-110.950543,56.219075
9500,-110.950543,56.219075
10000,-110.950543,56.219075
11000,-110.950543,56.219075
12000,-110.950543,56.219075
13000,-110.950543,56.219075
14000,-110.950543,56.219075
1000,-114.460167,55.27405
4000,-114.460167,55.27405
5000,-114.460167,55.27405
7000,-114.460167,55.27405
9000,-114.460167,55.27405
9500,-114.460167,55.27405
14000,-114.460167,55.27405
1000,-112.797998,55.186426
4000,-112.797998,55.186426
5000,-112.797998,55.186426
7000,-112.797998,55.186426
9000,-112.797998,55.186426
9500,-112.797998,55.186426
10000,-112.797998,55.186426
11000,-112.797998,55.186426
12000,-112.797998,55.186426
13000,-112.797998,55.186426
14000,-112.797998,55.186426
4000,-113.058897,56.844244
6000,-113.058897,56.844244
10000,-113.058897,56.844244
11000,-113.058897,56.844244
12000,-113.058897,56.844244
13000,-113.058897,56.844244
1000,-113.473619,55.989834
4000,-113.473619,55.989834
5000,-113.473619,55.989834
6000,-113.473619,55.989834
9000,-113.473619,55.989834
9500,-113.473619,55.989834
10000,-113.473619,55.989834
11000,-113.473619,55.989834
12000,-113.473619,55.989834
13000,-113.473619,55.989834
14000,-113.473619,55.989834
2000,-112.580313,56.600763
3000,-112.580313,56.600763
5000,-112.580313,56.600763
6000,-112.580313,56.600763
9000,-112.580313,56.600763
9500,-112.580313,56.600763
10000,-112.580313,56.600763
11000,-112.580313,56.600763
1000,-113.43904,55.291899
4000,-113.43904,55.291899
5000,-113.43904,55.291899
7000,-113.43904,55.291899
9000,-113.43904,55.291899
9500,-113.43904,55.291899
10000,-113.43904,55.291899
11000,-113.43904,55.291899
12000,-113.43904,55.291899
13000,-113.43904,55.291899
14000,-113.43904,55.291899
1000,-111.629538,54.855083
5000,-111.629538,54.855083
7000,-111.629538,54.855083
9000,-111.629538,54.855083
9500,-111.629538,54.855083
10000,-111.629538,54.855083
11000,-111.629538,54.855083
12000,-111.629538,54.855083
13000,-111.629538,54.855083
14000,-111.629538,54.855083
1000,-110.561495,54.942407
5000,-110.561495,54.942407
9000,-110.561495,54.942407
9500,-110.561495,54.942407
10000,-110.561495,54.942407
11000,-110.561495,54.942407
12000,-110.561495,54.942407
13000,-110.561495,54.942407
14000,-110.561495,54.942407
1000,-110.726779,55.728177
5000,-110.726779,55.728177
7000,-110.726779,55.728177
9000,-110.726779,55.728177
9500,-110.726779,55.728177
10000,-110.726779,55.728177
11000,-110.726779,55.728177
12000,-110.726779,55.728177
13000,-110.726779,55.728177
14000,-110.726779,55.728177
1000,-111.672561,55.902661
5000,-111.672561,55.902661
7000,-111.672561,55.902661
9000,-111.672561,55.902661
9500,-111.672561,55.902661
10000,-111.672561,55.902661
11000,-111.672561,55.902661
12000,-111.672561,55.902661
13000,-111.672561,55.902661
14000,-111.672561,55.902661
1000,-110.592552,55.204661
5000,-110.592552,55.204661
7000,-110.592552,55.204661
9000,-110.592552,55.204661
9500,-110.592552,55.204661
10000,-110.592552,55.204661
11000,-110.592552,55.204661
12000,-110.592552,55.204661
13000,-110.592552,55.204661
14000,-110.592552,55.204661
1000,-113.233851,55.117232
4000,-113.233851,55.117232
5000,-113.233851,55.117232
7000,-113.233851,55.117232
9000,-113.233851,55.117232
9500,-113.233851,55.117232
10000,-113.233851,55.117232
11000,-113.233851,55.117232
12000,-113.233851,55.117232
13000,-113.233851,55.117232
1000,-114.152485,55.132293
4000,-114.152485,55.132293
5000,-114.152485,55.132293
7000,-114.152485,55.132293
9000,-114.152485,55.132293
9500,-114.152485,55.132293
10000,-114.152485,55.132293
11000,-114.152485,55.132293
12000,-114.152485,55.132293
13000,-114.152485,55.132293
14000,-114.152485,55.132293
1000,-110.714024,55.044149
5000,-110.714024,55.044149
7000,-110.714024,55.044149
9000,-110.714024,55.044149
9500,-110.714024,55.044149
10000,-110.714024,55.044149
11000,-110.714024,55.044149
12000,-110.714024,55.044149
13000,-110.714024,55.044149
14000,-110.714024,55.044149
2000,-112.548716,57.226271
3000,-112.548716,57.226271
5000,-112.548716,57.226271
6000,-112.548716,57.226271
10000,-112.548716,57.226271
11000,-112.548716,57.226271
14000,-112.548716,57.226271
1000,-110.790326,54.956863
5000,-110.790326,54.956863
7000,-110.790326,54.956863
9000,-110.790326,54.956863
9500,-110.790326,54.956863
10000,-110.790326,54.956863
11000,-110.790326,54.956863
12000,-110.790326,54.956863
13000,-110.790326,54.956863
1000,-110.649135,55.480829
5000,-110.649135,55.480829
7000,-110.649135,55.480829
9000,-110.649135,55.480829
9500,-110.649135,55.480829
10000,-110.649135,55.480829
11000,-110.649135,55.480829
12000,-110.649135,55.480829
13000,-110.649135,55.480829
14000,-110.649135,55.480829
1000,-113.160378,55.82978
4000,-113.160378,55.82978
