Id	SitID	DPHI	GR	ILD	NPHI	lng	lat	HorID	Pick
81	178521	0.234	105.416	3.661	0.579	-112.044856	55.826208	9500	448.5
82	178521	0.206	117.399	7.699	0.516	-112.044856	55.826208	10000	451.0
83	178521	0.178	66.933	10.744	0.347	-112.044856	55.826208	11000	454.0
84	178521	0.178	66.933	10.744	0.347	-112.044856	55.826208	12000	454.0
85	178521	0.178	66.933	10.744	0.347	-112.044856	55.826208	13000	454.0
86	178521	0.165	19.326	9.589	0.353	-112.044856	55.826208	14000	506.0
87	178271	0.313	74.96	1.743	0.461	-113.580044	55.506278	1000	417.5
88	178271	0.143	111.89	7.222	0.386	-113.580044	55.506278	5000	569.5
89	178271	0.111	102.125	4.954	0.376	-113.580044	55.506278	7000	585.0
90	178271	0.376	49.731	34.035	0.136	-113.580044	55.506278	9000	588.0
91	178271	0.376	49.731	34.035	0.136	-113.580044	55.506278	9500	588.0
92	178271	0.243	57.25	9.403	0.358	-113.580044	55.506278	10000	596.0
93	178271	0.309	99.269	6.327	0.339	-113.580044	55.506278	11000	602.0
94	178271	0.309	99.269	6.327	0.339	-113.580044	55.506278	12000	602.0
95	178271	0.309	99.269	6.327	0.339	-113.580044	55.506278	13000	602.0
96	114301	0.253	86.379	6.047	0.445	-110.167132	56.219164	5000	193.0
97	114301	0.236	107.604	6.268	0.508	-110.167132	56.219164	7000	204.0
98	114301	0.246	94.465	5.794	0.448	-110.167132	56.219164	9000	212.0
99	114301	0.246	94.465	5.794	0.448	-110.167132	56.219164	9500	212.0
100	114301	0.271	79.29	6.752	0.384	-110.167132	56.219164	10000	214.0
101	114301	0.293	87.698	4.398	0.527	-110.167132	56.219164	11000	215.5
102	114301	0.268	82.011	7.171	0.424	-110.167132	56.219164	12000	220.5
103	114301	0.268	82.011	7.171	0.424	-110.167132	56.219164	13000	220.5
104	114301	0.211	61.571	7.679	0.415	-110.167132	56.219164	14000	301.0
105	141810	0.224	87.633	5.946	0.303	-111.102157	54.909749	1000	278.0
106	141810	0.433	98.422	2.611	0.429	-111.102157	54.909749	5000	400.5
107	141810	0.438	77.005	1.691	0.475	-111.102157	54.909749	7000	419.5
108	141810	0.305	104.808	2.641	0.455	-111.102157	54.909749	9000	423.5
109	141810	0.305	104.808	2.641	0.455	-111.102157	54.909749	9500	423.5
110	141810	0.24	114.341	2.822	0.473	-111.102157	54.909749	10000	429.0
111	141810	0.277	98.317	14.593	0.403	-111.102157	54.909749	11000	435.0
112	141810	0.277	98.317	14.593	0.403	-111.102157	54.909749	12000	435.0
113	141810	0.277	98.317	14.593	0.403	-111.102157	54.909749	13000	435.0
114	141810	0.044	76.091	9.11	0.301	-111.102157	54.909749	14000	493.0
115	154013	0.241	70.542	8.614	0.467	-113.50656	55.869877	1000	241.5
116	154013	0.188	88.749	11.894	0.433	-113.50656	55.869877	4000	389.0
117	154013	0.153	100.786	11.811	0.368	-113.50656	55.869877	5000	413.5
118	154013	0.207	78.712	18.142	0.368	-113.50656	55.869877	6000	418.0
119	154013	0.222	66.46	12.723	0.356	-113.50656	55.869877	9000	429.5
120	154013	0.222	66.46	12.723	0.356	-113.50656	55.869877	9500	429.5
121	154013	0.26	49.295	19.901	0.367	-113.50656	55.869877	10000	432.5
122	154013	0.192	90.073	12.168	0.39	-113.50656	55.869877	11000	441.0
123	154013	0.192	90.073	12.168	0.39	-113.50656	55.869877	12000	441.0
124	154013	0.192	90.073	12.168	0.39	-113.50656	55.869877	13000	441.0
