id,DEPT,HorID,lng,lat,DPHI_ner1,GR_ner1,ILD_ner1,NPHI_ner1,DPHI_ner2,GR_ner2,ILD_ner2,NPHI_ner2,DPHI_ner3,GR_ner3,ILD_ner3,NPHI_ner3
0,393.0,0,-2.2756737265722164,-0.6688884872578995,1.9578873127475374,-1.2976607279842967,-0.13376462923789587,2.835339471253291,1.272831596598174,-0.8471929859300736,-0.14261053261327844,0.08257559139858435,1.5556085702568423,-0.666776696663145,-0.11085507985704315,0.28549573558167934
1,549.0,3,-2.2756737265722164,-0.6688884872578995,-0.27027340951007106,-0.5020695756298811,-0.12251904712447112,0.215140375359202,-1.4345555829999723,0.26750736119521673,-0.13161961681658105,-0.8891072048896965,4.304186995694184,-0.2526069595657873,-0.147219710882118,2.5651018590997468
2,584.0,4,-2.2756737265722164,-0.6688884872578995,-0.49815348337732634,-1.2176939070997208,-0.12115886065015341,-0.281196898312366,0.7862504905874474,-0.543087954032356,-0.06640193624254843,-0.04042223091638739,-0.6853495153474767,0.9133114540384293,-0.10723323406937378,0.17214515485426218
3,597.0,6,-2.2756737265722164,-0.6688884872578995,-0.7766735736595273,-0.9800136237234566,-0.11694777828269504,-0.47742326232205506,1.2229258421355353,0.6090192941182114,-0.13998487376830043,0.574566880658474,-1.2672557585706974,1.8274228284674947,-0.1255698434607581,0.13436162794512221
4,607.0,10,-2.2756737265722164,-0.6688884872578995,0.5652868613365317,-1.0387070904403535,-0.12614621105598503,5.420910385263317,-0.09957665112438832,1.2504190209428376,-0.14015070485324643,1.0050592587608769,-0.7224924670425759,-0.6235235024441108,-0.09010661351736778,-0.41979676672225313
5,607.0,11,-2.2756737265722164,-0.6688884872578995,0.5652868613365317,-1.0387070904403535,-0.12614621105598503,5.420910385263317,-1.097691740377161,0.5441160013584573,-0.09958657890784939,-0.6554113424912495,0.020366566859408297,-0.188380046640542,-0.10192227634485414,0.6885200226124982
6,607.0,12,-2.2756737265722164,-0.6688884872578995,0.5652868613365317,-1.0387070904403535,-0.12614621105598503,5.420910385263317,-0.6235870729820939,0.41026086736270734,-0.12691185657172574,0.6114662273529652,-0.1034432721242555,0.34069628943870367,-0.10780168520196763,1.179705872431308
7,645.0,13,-2.2756737265722164,-0.6688884872578995,0.2614467628468583,1.293611423981151,-0.12043068001238737,1.0577594678713975,-0.6111106343664345,1.7169298880698038,-0.12114461995082669,-1.012105027204669,-0.1034432721242555,0.34069628943870367,-0.10780168520196763,1.179705872431308
8,209.5,0,-0.791063255859693,1.801036385803867,0.08420670539454875,0.43004241884045347,-0.11577307178214792,-0.08497053430267633,-0.5487284412881362,1.4866265211035803,-0.06957115253262715,-1.0490043738991608,-0.6110636119572785,0.19237047718758077,-0.09436187628135599,0.6759255136427852
9,327.5,1,-0.791063255859693,1.801036385803867,-2.5617341522863613,1.3898864708310819,-0.07100370181685225,-1.573982355317379,0.037664173647867734,0.33683875385086015,-0.09978004850695303,-1.2827002362976083,-0.2643960628030189,0.20412228844709185,-0.09446744577740915,0.37365729836967165
10,355.0,2,-0.791063255859693,1.801036385803867,-0.8273135900744732,0.9454469463792008,-0.10058432281893344,-0.23502598913361614,0.037664173647867734,0.33683875385086015,-0.09978004850695303,-1.2827002362976083,-0.2643960628030189,0.20412228844709185,-0.09446744577740915,0.37365729836967165
11,361.0,4,-0.791063255859693,1.801036385803867,-0.9412536270081008,0.7903573321245124,-0.10389548383217151,-0.6274787171529949,-0.13700596697136733,0.663084285228026,-0.09221630846580586,-0.729210035880233,-0.2643960628030189,0.20412228844709185,-0.09446744577740915,0.37365729836967165
12,363.0,5,-0.791063255859693,1.801036385803867,-0.9412536270081008,0.7903573321245124,-0.10389548383217151,-0.6274787171529949,-1.0103566700675437,0.9113530860575728,-0.043858121527947797,-0.815308511500713,-0.48725377297361433,0.7579671989517657,-0.06754722428385773,0.3484682804302448
13,371.0,13,-0.791063255859693,1.801036385803867,-0.7133735531408452,0.9868230147318966,-0.10623802720460757,-0.33891053478580413,-1.0103566700675437,0.9113530860575728,-0.043858121527947797,-0.815308511500713,-0.09106228822588909,0.6005010890543561,-0.08901843563497386,0.8522486392187678
14,440.5,0,-1.2907833338873547,-0.4448301774742186,-1.1058336803566742,0.6928309115000121,-0.09501992360581553,-0.9045041722254973,-1.0103566700675437,0.9113530860575728,-0.043858121527947797,-0.815308511500713,-2.072019711964514,-0.43235254497602,0.034814583235362594,-1.1124947600564725
15,565.0,3,-1.2907833338873547,-0.4448301774742186,-1.1058336803566742,0.6928309115000121,-0.09501992360581553,-0.9045041722254973,-0.24929391451230404,2.1017950275925568,-0.14390954277868861,0.4884684050379927,-1.3910655975543615,2.0003948004434253,-0.04811431627961386,0.13436162794512221
16,597.0,4,-1.2907833338873547,-0.4448301774742186,-1.1058336803566742,0.6928309115000121,-0.09501992360581553,-0.9045041722254973,1.0856850173632788,0.13082667774208928,-0.1148798900750897,1.066558169918363,0.14417640584307245,-1.3059854584001014,0.19099247155028887,-0.13012306041885202
17,608.5,6,-1.2907833338873547,-0.4448301774742186,-0.9539136311118371,1.0451128124892557,-0.10357948091389567,-0.4312523531433052,-0.7857807749856697,0.06217004316581914,-0.02276072238759823,-0.7538096003432269,-1.2177318229772318,0.7389113105552666,-0.08158796725892573,-0.36941873084340077
18,611.0,7,-1.2907833338873547,-0.4448301774742186,-0.4854934792735899,0.8938580533501818,-0.119729977889254,0.7807340127988951,-0.087100212508729,0.4041880446483441,-0.004860178051485013,-0.372516351166813,-1.2177318229772318,0.7389113105552666,-0.08158796725892573,-0.36941873084340077
