Stratigraphic Pick ->,1000,10000,11000,12000,13000,14000,2000,3000,4000,5000,6000,7000,9000,9500
1146,0.25%,1.10%,0.06%,0.21%,0.06%,0.01%,0.00%,0.00%,0.00%,7.11%,0.00%,1.41%,84.94%,4.85%
1149,0.00%,0.04%,53.10%,33.02%,12.95%,0.00%,0.00%,0.00%,0.00%,0.10%,0.00%,0.00%,0.19%,0.59%
1155,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.00%,99.96%,0.00%,0.00%
1171,0.00%,0.05%,3.03%,46.88%,46.65%,0.03%,0.00%,0.00%,0.00%,0.02%,0.00%,0.01%,0.98%,2.35%
1175,0.03%,34.36%,1.67%,0.38%,0.23%,0.02%,0.06%,0.00%,0.00%,3.43%,0.00%,0.19%,31.98%,27.64%
1185,0.00%,21.52%,18.01%,1.68%,8.16%,0.06%,0.00%,0.00%,0.00%,2.16%,0.00%,0.70%,43.59%,4.11%
119,0.00%,26.75%,0.39%,0.18%,0.48%,0.05%,0.00%,0.00%,0.03%,0.07%,1.38%,0.19%,68.65%,1.82%
1198,0.00%,3.43%,5.60%,15.04%,70.74%,0.18%,0.00%,0.01%,0.05%,0.43%,0.00%,0.78%,1.25%,2.49%
1213,0.00%,4.41%,0.38%,0.01%,0.02%,0.01%,0.00%,0.00%,0.01%,0.17%,91.85%,0.43%,2.52%,0.19%
1219,0.00%,0.02%,0.06%,30.91%,68.50%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.39%
1220,0.00%,1.05%,0.39%,0.42%,0.56%,88.87%,0.00%,0.00%,0.02%,5.07%,0.00%,0.02%,3.47%,0.14%
1221,0.06%,18.83%,54.96%,1.43%,1.36%,0.32%,0.99%,0.56%,0.00%,13.50%,0.01%,0.31%,4.74%,2.91%
1225,0.00%,27.07%,53.01%,3.44%,11.16%,2.92%,0.00%,0.01%,0.00%,0.12%,0.09%,0.06%,1.62%,0.51%
1238,0.00%,0.13%,0.18%,0.02%,0.01%,0.07%,14.46%,84.08%,0.00%,0.14%,0.02%,0.01%,0.63%,0.25%
1244,0.00%,14.36%,63.02%,9.06%,8.65%,0.27%,0.01%,0.02%,0.00%,0.30%,0.02%,0.02%,2.98%,1.29%
1245,0.00%,13.09%,37.41%,32.29%,11.86%,0.72%,0.00%,0.01%,0.00%,0.47%,0.53%,0.07%,1.46%,2.09%
126,0.00%,0.04%,0.05%,0.08%,0.07%,99.66%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.09%
127,99.98%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
1274,0.00%,5.51%,0.37%,3.11%,67.87%,0.29%,0.00%,0.00%,0.47%,20.69%,0.01%,0.52%,0.39%,0.77%
1295,0.01%,8.09%,1.05%,0.38%,0.47%,1.29%,8.23%,0.19%,0.98%,71.45%,0.04%,1.89%,0.55%,5.40%
1299,0.00%,81.29%,1.32%,0.30%,0.44%,0.01%,0.00%,0.00%,0.00%,7.70%,0.00%,6.81%,0.85%,1.29%
13,0.03%,55.93%,1.26%,4.45%,2.48%,0.50%,1.37%,0.25%,8.40%,5.75%,17.27%,0.72%,0.76%,0.82%
