"SitID","HorID","lng","lat","SitID1","SitID2","SitID3","SitID4","SitID5","SitID6","SitID7","SitID8","SitID9","SitID10","SitID11","SitID12","SitID13","SitID14","SitID15","SitID16","SitID17","SitID18","SitID19","SitID20"
112387,10000,-113.245543,55.913433,111795,111788,112391,113110,164300,111798,113112,111800,112399,112395,111094,111787,113117,113114,113198,113887,111805,113135,113889,113195
112387,11000,-113.245543,55.913433,111795,111788,112391,113110,164300,111798,113112,111800,112399,112395,111094,111787,113117,113114,113198,113887,111805,113135,113889,113195
112387,12000,-113.245543,55.913433,111795,111788,112391,113110,164300,111798,113112,111800,112399,112395,111094,111787,113117,113114,113198,113887,111805,113135,113889,113195
112387,13000,-113.245543,55.913433,111795,111788,112391,113110,164300,111798,113112,111800,112399,112395,111094,111787,113117,113114,113198,113887,111805,113135,113889,113195
112387,14000,-113.245543,55.913433,111795,111788,112391,113110,164300,111798,113112,111800,112399,111094,111787,113114,113887,111805,113135,113889,113195,112412,112418,113204
178604,1000,-111.966537,55.913487,112344,112350,112347,111761,111757,111754,112341,113063,111747,111051,178521,111751,178522,112358,112355,142716,178437,143200,111764,143346
178604,5000,-111.966537,55.913487,112350,112347,111761,111757,111754,112341,111747,111051,178521,111751,178522,112358,142716,178437,143200,164514,111764,143346,178435,112340
178604,7000,-111.966537,55.913487,112350,112347,111761,111757,111754,112341,113064,111747,178521,111751,178522,112358,142716,178437,143200,164514,111764,143346,178435,112340
178604,9000,-111.966537,55.913487,112350,112347,111761,111757,111754,112341,111747,111051,178521,111751,178522,112358,142716,178437,143200,164514,111764,143346,178435,112340
178604,9500,-111.966537,55.913487,112350,112347,111761,111757,111754,112341,111747,111051,178521,111751,178522,112358,142716,178437,143200,164514,111764,143346,178435,112340
178604,10000,-111.966537,55.913487,112350,112347,111761,111757,111754,112341,111747,111051,178521,111751,178522,112358,142716,178437,143200,164514,111764,143346,178435,112340
178604,11000,-111.966537,55.913487,112350,112347,111761,111757,111754,112341,111747,111051,178521,111751,178522,112358,142716,178437,143200,164514,111764,143346,178435,112340
178604,12000,-111.966537,55.913487,112350,112347,111761,111757,111754,112341,111747,111051,178521,111751,178522,112358,142716,178437,143200,164514,111764,143346,178435,112340
178604,13000,-111.966537,55.913487,112350,112347,111761,111757,111754,112341,111747,111051,178521,111751,178522,112358,142716,178437,143200,164514,111764,143346,178435,112340
178604,14000,-111.966537,55.913487,112350,112347,111761,111757,111754,112341,111747,111051,178521,111751,112358,142716,178437,164514,111764,143346,112340,111046,111053,178601
111124,1000,-113.942337,55.739167,111123,111116,111118,111131,111817,164301,111122,111822,110475,110044,111819,111813,153892,112433,112432,110468,164440,153895,108854,153803
111124,4000,-113.942337,55.739167,111123,111116,111118,111131,164301,111122,111822,110475,110044,111819,111813,153892,112433,112432,110468,164440,153895,108854,153803,113241
111124,5000,-113.942337,55.739167,111123,111116,111118,111131,164301,111122,111822,110475,110044,111819,111813,153892,111111,112433,112432,110468,164440,153895,108854,153803
111124,6000,-113.942337,55.739167,111123,111116,111118,111131,164301,111122,110475,110044,111819,111813,153892,112433,112432,164440,153895,153803,113241,153893,112422,164148
111124,9000,-113.942337,55.739167,111123,111116,111118,111131,164301,111122,111822,110475,110044,111819,111813,112433,112432,110468,164440,153895,108854,113241,111110,153893
111124,9500,-113.942337,55.739167,111123,111116,111118,111131,164301,111122,111822,110475,110044,111819,111813,112433,112432,110468,164440,153895,108854,113241,111110,153893
111124,10000,-113.942337,55.739167,111116,111131,164301,111122,111822,110044,111819,111813,112433,112432,164440,153895,113241,111110,153893,112422,113910,154123,164526,154248
111124,11000,-113.942337,55.739167,111123,111116,111118,111131,164301,111122,111822,110475,110044,111819,111813,153892,112433,112432,110468,164440,153895,113241,111110,153893
111124,12000,-113.942337,55.739167,111123,111116,111118,111131,164301,111122,111822,110475,110044,111819,111813,153892,112433,112432,110468,164440,153895,113241,111110,153893
111124,13000,-113.942337,55.739167,111123,111116,111118,111131,164301,111122,111822,110475,110044,111819,111813,153892,112433,112432,110468,164440,153895,113241,111110,153893
111124,14000,-113.942337,55.739167,111123,111116,111131,111817,164301,111122,111822,110475,111819,111813,153892,112433,112432,110468,164440,153895,108854,111110,153893,112422
143347,1000,-113.480468,56.087934,113219,113212,143229,113195,113204,113135,143467,143469,112418,143468,143069,113897,113198,112419,113117,112412,112399,143470,112395,112423
143347,4000,-113.480468,56.087934,113219,113212,143229,113195,113204,113135,143467,143469,112418,113895,143468,143069,113897,113198,112419,113117,112412,112399,143470,112395
143347,5000,-113.480468,56.087934,113219,113212,143229,113195,113204,113135,143467,143469,112418,143468,143069,113897,113198,112419,113117,112412,112399,143470,112395,112423
143347,6000,-113.480468,56.087934,113219,113212,143229,113195,113204,113135,143467,143469,143468,143069,113897,113198,112419,113117,112412,143470,112395,112423,113110,111805
143347,9000,-113.480468,56.087934,113219,113212,143229,113195,113204,113135,143467,143469,112418,143468,143069,113897,113198,112419,113117,112412,112399,112395,112423,113110
