"SitID","DEPT","DPHI","GR","ILD","NPHI","HorID"
179350,252.5,0.241,101.536,4.38,0.474,5000
179350,253.5,0.207,88.236,6.193,0.404,6000
179350,263,0.306,45.096,38.666,0.413,10000
179350,282,0.271,49.382,26.503,0.406,11000
179350,294,0.186,73.178,16.952,0.377,12000
179350,294,0.186,73.178,16.952,0.377,13000
179350,300,0.139,45.934,20.2,0.299,14000
109314,364,0.475,65.67,6.302,0.567,1000
109314,508,0.264,88.992,3.783,0.45,5000
109314,525,0.229,100.024,2.095,0.53,7000
109314,531,0.119,100.666,7.744,0.408,9000
109314,531,0.119,100.666,7.744,0.408,9500
109314,536.5,0.144,106.772,4.974,0.444,10000
109314,541,0.207,87.972,10.013,0.391,11000
109314,541,0.207,87.972,10.013,0.391,12000
109314,541,0.207,87.972,10.013,0.391,13000
109314,555,0.226,60.12,21.678,0.514,14000
122555,127,0.268,57.248,1.828,0.532,2000
122555,146,0.26,63.282,1.824,0.53,3000
122555,161,0.223,61.388,3.321,0.477,5000
122555,167.5,0.249,53.13,1.898,0.538,7000
122555,175,0.268,59.571,2.193,0.533,9000
122555,175,0.268,59.571,2.193,0.533,9500
122555,177,0.209,51.707,3.127,0.459,10000
122555,180.5,0.241,38.962,7.568,0.445,11000
122555,180.5,0.241,38.962,7.568,0.445,12000
122555,180.5,0.241,38.962,7.568,0.445,13000
122555,250,0.197,67.855,15.329,0.374,14000
103775,306,0.086,100.561,3.212,0.399,1000
103775,430,0.2,126.961,3.262,0.508,5000
103775,448,0.217,134.352,2.183,0.504,7000
103775,452,0.131,125.53,3.673,0.432,9000
103775,452,0.131,125.53,3.673,0.432,9500
103775,458,0.173,147.602,3.085,0.463,10000
103775,465,0.209,111.964,5.917,0.385,11000
103775,465,0.209,111.964,5.917,0.385,12000
103775,465,0.209,111.964,5.917,0.385,13000
103775,480,0.212,94.954,8.681,0.641,14000
107193,320,0.191,90.778,4.136,0.487,1000
107193,438,0.235,93.987,2.668,0.558,5000
107193,451,0.227,88.458,3.044,0.521,7000
107193,453.5,0.201,78.968,4.341,0.464,9000
107193,466,0.232,81.289,6.676,0.426,9500
107193,474,0.257,66.213,9.525,0.426,11000
107193,474,0.257,66.213,9.525,0.426,12000
107193,474,0.257,66.213,9.525,0.426,13000
107193,529,0.304,28.604,3.122,0.341,14000
154362,238.5,0.255,94.269,7.36,0.443,1000
154362,388,0.252,98.419,6.713,0.453,5000
154362,396.5,0.284,70.553,4.886,0.433,7000
154362,403.5,0.246,101.976,3.965,0.46,9000
154362,403.5,0.246,101.976,3.965,0.46,9500
154362,405,0.254,106.719,5.368,0.498,10000
154362,407,0.247,81.818,9.11,0.394,11000
154362,410,0.254,92.49,11.269,0.389,12000
154362,410,0.254,92.49,11.269,0.389,13000
154362,458.5,0.053,100.791,10.624,0.398,14000
117844,177,0.216,87.719,6.216,0.5,2000
117844,209,0.152,76.207,13.163,0.425,3000
117844,215,0.007,73.34,10.891,0.329,4000
117844,221,0.222,87.406,6.002,0.474,5000
117844,221,0.222,87.406,6.002,0.474,6000
117844,225,0.229,77.274,5.625,0.456,10000
117844,227,0.254,59.285,19.823,0.396,11000
117844,231.5,0.258,63.372,14.73,0.454,12000
117844,231.5,0.258,63.372,14.73,0.454,13000
117844,261,0.335,86.8,21.377,0.431,14000
103748,398,0.344,55.784,5.069,0.498,1000
103748,521.5,0.374,114.09,2.894,0.534,5000
103748,542,0.385,120.352,1.569,0.516,7000
103748,545,0.364,101.277,1.982,0.507,9000
103748,545,0.364,101.277,1.982,0.507,9500
103748,551.5,0.37,108.035,2.307,0.508,10000
103748,556.5,0.257,95.201,4.7,0.375,11000
103748,556.5,0.257,95.201,4.7,0.375,12000
103748,556.5,0.257,95.201,4.7,0.375,13000
103748,606,0.271,100.357,5.105,0.339,14000
113258,527.3,0.204,92.891,10.658,0.41,10000
102719,378,0.274,102.632,2.855,0.473,1000
102719,497,0.212,111.737,2.988,0.507,5000
102719,516,0.137,112.768,3.592,0.423,7000
102719,522,0.162,124.192,3.016,0.448,9000
102719,522,0.162,124.192,3.016,0.448,9500
102719,525.5,0.179,129.215,3.651,0.388,10000
102719,535.5,0.122,152.941,6.348,0.429,14000
105751,282,0.314,83.365,3.317,0.421,1000
105751,411,0.18,106,3.81,0.424,5000
105751,426.5,0.166,89.149,4.366,0.402,7000
105751,435,0.122,103.36,4.143,0.429,9000
105751,435,0.122,103.36,4.143,0.429,9500
105751,439.5,0.191,110.78,3.569,0.405,10000
105751,449,0.175,112.132,6.474,0.372,11000
105751,449,0.175,112.132,6.474,0.372,12000
105751,449,0.175,112.132,6.474,0.372,13000
105751,489,0.278,44.759,2.549,0.322,14000
105922,440,0.261,100.802,1.945,0.457,1000
105922,569,0.107,105.826,4.106,0.337,4000
105922,595,0.111,112.523,6.13,0.312,5000
105922,609,0.15,101.914,2.776,0.386,7000
105922,624,0.028,99.43,4.615,0.35,9000
105922,624,0.028,99.43,4.615,0.35,9500
