"SitID","HorID","lng","lat"
142218,1000,-114.620656,55.288691
142218,4000,-114.620656,55.288691
142218,5000,-114.620656,55.288691
142218,7000,-114.620656,55.288691
142218,11000,-114.620656,55.288691
142218,12000,-114.620656,55.288691
142218,13000,-114.620656,55.288691
142218,14000,-114.620656,55.288691
144992,1000,-112.935009,57.208172
144992,2000,-112.935009,57.208172
144992,3000,-112.935009,57.208172
144992,5000,-112.935009,57.208172
144992,6000,-112.935009,57.208172
144992,14000,-112.935009,57.208172
153654,1000,-113.502398,55.462816
153654,4000,-113.502398,55.462816
153654,5000,-113.502398,55.462816
153654,7000,-113.502398,55.462816
153654,9000,-113.502398,55.462816
153654,9500,-113.502398,55.462816
153654,10000,-113.502398,55.462816
153654,11000,-113.502398,55.462816
153654,12000,-113.502398,55.462816
153654,13000,-113.502398,55.462816
153654,14000,-113.502398,55.462816
143720,5000,-112.326844,56.335468
143720,6000,-112.326844,56.335468
143720,9000,-112.326844,56.335468
143720,9500,-112.326844,56.335468
143720,10000,-112.326844,56.335468
143720,11000,-112.326844,56.335468
143720,12000,-112.326844,56.335468
143720,13000,-112.326844,56.335468
143720,14000,-112.326844,56.335468
112387,1000,-113.245543,55.913433
112387,4000,-113.245543,55.913433
112387,5000,-113.245543,55.913433
112387,7000,-113.245543,55.913433
112387,9000,-113.245543,55.913433
112387,9500,-113.245543,55.913433
112387,10000,-113.245543,55.913433
112387,11000,-113.245543,55.913433
112387,12000,-113.245543,55.913433
112387,13000,-113.245543,55.913433
112387,14000,-113.245543,55.913433
178604,1000,-111.966537,55.913487
178604,5000,-111.966537,55.913487
178604,7000,-111.966537,55.913487
178604,9000,-111.966537,55.913487
178604,9500,-111.966537,55.913487
178604,10000,-111.966537,55.913487
178604,11000,-111.966537,55.913487
178604,12000,-111.966537,55.913487
178604,13000,-111.966537,55.913487
178604,14000,-111.966537,55.913487
111124,1000,-113.942337,55.739167
111124,4000,-113.942337,55.739167
111124,5000,-113.942337,55.739167
111124,6000,-113.942337,55.739167
111124,9000,-113.942337,55.739167
111124,9500,-113.942337,55.739167
111124,10000,-113.942337,55.739167
111124,11000,-113.942337,55.739167
111124,12000,-113.942337,55.739167
111124,13000,-113.942337,55.739167
111124,14000,-113.942337,55.739167
143347,1000,-113.480468,56.087934
143347,4000,-113.480468,56.087934
143347,5000,-113.480468,56.087934
143347,6000,-113.480468,56.087934
143347,9000,-113.480468,56.087934
143347,9500,-113.480468,56.087934
143347,10000,-113.480468,56.087934
143347,11000,-113.480468,56.087934
143347,12000,-113.480468,56.087934
143347,13000,-113.480468,56.087934
143347,14000,-113.480468,56.087934
178521,1000,-112.044856,55.826208
178521,5000,-112.044856,55.826208
178521,7000,-112.044856,55.826208
178521,9000,-112.044856,55.826208
178521,9500,-112.044856,55.826208
