SitID,lng,lat
102496,-110.12932,54.785907
102497,-110.269446,54.782284
102498,-110.186851,54.785892
102500,-110.269422,54.829624
102501,-110.224832,54.840471
102503,-110.402983,54.771449
102505,-110.422131,54.785901
102507,-110.345762,54.800533
102514,-110.396621,54.829633
102517,-110.320301,54.840441
102518,-110.498414,54.771451
102565,-110.599928,54.785896
102577,-110.479147,54.814989
102581,-110.549109,54.840482
102583,-110.688675,54.77509
102589,-110.707896,54.796954
102592,-110.625318,54.826012
102596,-110.701599,54.844116
102597,-110.77791,54.775087
102606,-110.885862,54.796947
102609,-110.879581,54.822471
102610,-111.038407,54.771468
102611,-110.936727,54.796937
102614,-110.936727,54.82246
102615,-111.025865,54.826041
102619,-111.13386,54.771478
102620,-111.089256,54.796927
102626,-111.133864,54.840503
102630,-111.674106,54.764109
102633,-111.78861,54.767676
102640,-111.699581,54.796863
102656,-111.902778,54.771211
102661,-111.883638,54.778455
102666,-111.896572,54.843896
102671,-111.852009,54.843897
102672,-112.055371,54.767516
102679,-112.112394,54.785519
102681,-112.055334,54.785555
102684,-112.137831,54.803748
102686,-112.169807,54.767425
102698,-112.207734,54.814564
102702,-112.284017,54.839992
102710,-112.430364,54.782042
102714,-112.309435,54.785454
102754,-112.487492,54.782048
102785,-112.66546,54.785734
102802,-112.73538,54.829416
103698,-110.123115,54.873181
103699,-110.269399,54.873181
103700,-110.186834,54.873176
103703,-110.199382,54.913308
103704,-110.275652,54.916925
103707,-110.41574,54.858728
103710,-110.326522,54.884202
103711,-110.396549,54.884217
103713,-110.396506,54.916935
103715,-110.504559,54.85873
103717,-110.555355,54.869577
103723,-110.498201,54.916928
103724,-110.580733,54.913303
103729,-110.727018,54.869595
103730,-110.625306,54.86956
103732,-110.707861,54.887844
103734,-110.650717,54.920534
103738,-110.777878,54.85513
103742,-110.828717,54.884229
103744,-110.911297,54.902274
103746,-110.828714,54.913322
103748,-111.368963,54.895029
103749,-111.311852,54.913308
103751,-111.489848,54.898635
103752,-111.388128,54.927733
103753,-111.629562,54.876765
103756,-111.604145,54.913273
103757,-111.597866,54.91689
103759,-111.674156,54.920494
103775,-111.826646,54.880391
103784,-111.801237,54.916768
103787,-111.826639,54.927575
103796,-111.89669,54.858597
103809,-111.851923,54.873029
103834,-111.896661,54.916755
103852,-111.896637,54.92759
103855,-112.055391,54.902133
103857,-112.004556,54.916751
103868,-112.049124,54.927594
103875,-112.284175,54.931203
103876,-112.309458,54.858266
103895,-112.589292,54.872959
103900,-112.595535,54.887595
103903,-112.58298,54.913081
103906,-112.665477,54.858523
103912,-112.665485,54.872978
103920,-112.665482,54.913116
103924,-112.741762,54.92756
104689,-111.362705,54.942377
104690,-111.305576,54.96047
104695,-111.311853,54.989561
104699,-111.388132,54.960441
104700,-111.445227,54.975091
104703,-111.419806,54.989544
104710,-111.553317,54.975072
104712,-111.604159,54.971464
104715,-111.572445,54.985923
104719,-111.667877,55.004131
104722,-111.820384,54.956678
104729,-111.8204,54.971313
104736,-111.724969,55.004132
104751,-111.972865,54.956666
104764,-111.972858,54.974916
104769,-111.928283,54.989332
104779,-111.972819,55.01483
104787,-112.023702,54.942214
104803,-112.049165,54.971303
104804,-112.074623,54.98577
104807,-112.055412,55.014843
104810,-112.258705,54.956679
104812,-112.201601,54.960301
104819,-112.201591,55.004034
104823,-112.201633,55.018497
104826,-112.303318,54.945834
104832,-112.379554,54.974897
104833,-112.411274,54.985733
104834,-112.303298,54.985789
104837,-112.538352,54.989388
104839,-112.589296,55.000385
104840,-112.557585,55.018465
104841,-112.659201,54.960288
105674,-111.343543,55.033282
105677,-111.318119,55.058766
105678,-111.31811,55.091471
105681,-111.324294,55.10969
105683,-111.426106,55.040517
105685,-111.527833,55.065961
105689,-111.470701,55.087813
105691,-111.489835,55.105937
105693,-111.566179,55.033259
105694,-111.674095,55.04411
105704,-111.67404,55.1023
