header,real:6
416,0.219,96.95,3.553,0.511,9500
418,0.213,110.328,4.097,0.474,10000
419.5,0.26,88.904,7.572,0.388,11000
421.5,0.201,76.992,8.752,0.415,12000
421.5,0.201,76.992,8.752,0.415,13000
472,0.256,79.884,11.897,0.379,14000
326.5,0.393,97.018,3.568,0.477,1000
468,0.244,95.824,3.506,0.441,5000
486,0.214,86.482,3.008,0.481,7000
491,0.159,80.238,5.662,0.421,9000
491,0.159,80.238,5.662,0.421,9500
496,0.18,91.657,4.424,0.427,10000
498.5,0.151,93.093,8.571,0.331,14000
374,0.853,66.749,2.951,0.521,1000
523,0.267,71.88,5.212,0.37,4000
560,0.46,70.806,3.728,0.386,5000
573.5,0.686,55.963,2.505,0.673,7000
580,0.575,61.138,2.883,0.413,9000
580,0.575,61.138,2.883,0.413,9500
586,0.451,81.576,4.813,0.405,10000
591,0.208,68.311,11.555,0.3,11000
591,0.208,68.311,11.555,0.3,12000
591,0.208,68.311,11.555,0.3,13000
628.5,0.031,29.448,9.506,0.16,14000
290.5,0.433,101.455,10.633,0.491,1000
436,0.238,74.231,6.59,0.442,5000
443.5,0.254,78.192,3.582,0.473,7000
451.5,0.185,96.488,3.679,0.495,9000
451.5,0.185,96.488,3.679,0.495,9500
453.5,0.233,92.966,4.221,0.424,10000
456,0.261,80.422,7.231,0.429,11000
456,0.261,80.422,7.231,0.429,12000
456,0.261,80.422,7.231,0.429,13000
505,0.153,95.979,10.021,0.324,14000
365,0.625,71.606,2.366,0.485,1000
519,0.291,61.042,8.397,0.423,4000
551,0.292,63.082,5.444,0.419,5000
565,0.138,61.005,6.55,0.266,7000
571,0.367,71.203,4.985,0.475,9000
571,0.367,71.203,4.985,0.475,9500
576,0.434,64.409,10.55,0.462,10000
585,0.108,28.521,9.468,0.217,14000
371.5,0.343,66.138,2.766,1.085,1000
526,0.171,71.162,5.296,0.982,4000
560.5,0.496,61.506,4.144,0.499,5000
574,0.43,59.556,2.063,0.5,7000
580,0.507,66.969,3.371,0.577,9000
580,0.507,66.969,3.371,0.577,9500
585.5,0.289,82.347,5.127,0.504,10000
596,0.335,53.327,5.847,0.392,11000
596,0.335,53.327,5.847,0.392,12000
596,0.335,53.327,5.847,0.392,13000
615,0.096,38.32,6.826,0.167,14000
338,0.193,79.785,10.053,0.428,1000
488.5,0.254,63.323,4.686,0.436,5000
503,0.238,83.878,5.495,0.545,7000
507,0.199,84.484,6.364,0.483,9000
507,0.199,84.484,6.364,0.483,9500
511,0.141,91.28,6.97,0.432,10000
519,0.165,106.736,17.965,0.443,11000
519,0.165,106.736,17.965,0.443,12000
519,0.165,106.736,17.965,0.443,13000
563,0.302,61.332,5.01,0.395,14000
361,0.315,76.429,6.868,0.392,1000
512,0.179,90.83,9.739,0.333,4000
542.5,0.128,88.105,8.486,0.346,5000
546,0.229,51.559,11.048,0.32,6000
556,0.294,26.823,5.771,0.302,9000
556,0.294,26.823,5.771,0.302,9500
562,0.259,41.574,5.075,0.297,10000
568,0.164,86.847,8.39,0.32,11000
568,0.164,86.847,8.39,0.32,12000
568,0.164,86.847,8.39,0.32,13000
598.5,0.056,48.655,2.941,0.135,14000
204,0.224,99.234,3.89,0.496,1000
337,0.275,82.687,5.359,0.501,5000
349,0.268,85.755,2.729,0.497,7000
353,0.246,101.088,3.75,0.484,9000
353,0.246,101.088,3.75,0.484,9500
356,0.225,91.427,3.793,0.461,10000
362.5,0.261,82.125,3.277,0.427,11000
362.5,0.261,82.125,3.277,0.427,12000
362.5,0.261,82.125,3.277,0.427,13000
462,0.231,24.179,10.575,0.335,14000
258,0.198,102.706,8.454,0.437,1000
412,0.175,110.653,7.659,0.441,5000
425,0.172,110.524,6.707,0.49,7000
432,0.138,116.124,4.778,0.423,9000
432,0.138,116.124,4.778,0.423,9500
436,0.114,118.171,10.084,0.373,10000
436,0.114,118.171,10.084,0.373,14000
156,0.194,73.967,4.517,0.444,1000
284.5,0.259,96.678,3.21,0.59,5000
297,0.239,77.757,2.724,0.582,7000
303.5,0.226,83.65,3.914,0.498,9000
303.5,0.226,83.65,3.914,0.498,9500
305,0.199,88.695,4.387,0.486,10000
309.5,0.221,81.374,3.1,0.449,11000
309.5,0.221,81.374,3.1,0.449,12000
309.5,0.221,81.374,3.1,0.449,13000
395.5,0.175,40.087,2.87,0.443,14000
302,0.278,109.004,7.866,0.39,1000
449,0.263,83.103,4.1,0.37,5000
464.5,0.249,95.029,2.107,0.44,7000
468.5,0.121,94.737,5.467,0.376,9000
468.5,0.121,94.737,5.467,0.376,9500
474.5,0.116,96.705,5.493,0.362,10000
477,0.248,76.877,10.878,0.34,11000
477,0.248,76.877,10.878,0.34,12000
477,0.248,76.877,10.878,0.34,13000
529,0.135,28.74,4.407,0.337,14000
413,0.288,83.948,3.899,0.486,1000
536,0.133,81.894,11.065,0.228,4000
560.5,0.142,100.566,6.848,0.368,5000
575,0.156,106.863,3.701,0.482,7000
581,0.134,91.612,5.511,0.416,9000
581,0.134,91.612,5.511,0.416,9500
584,0.129,101.52,5.117,0.418,10000
593.5,0.096,96.92,7.944,0.259,11000
593.5,0.096,96.92,7.944,0.259,12000
593.5,0.096,96.92,7.944,0.259,13000
601,0.164,73.427,64.297,0.393,14000
204,0.253,99.514,5.313,0.477,1000
344,0.267,85.475,4.925,0.435,5000
360,0.265,94.323,2.726,0.565,7000
364.5,0.22,100.859,3.247,0.487,9000
364.5,0.22,100.859,3.247,0.487,9500
367,0.189,98.648,4.127,0.437,10000
372,0.235,74.74,14.31,0.399,11000
372,0.235,74.74,14.31,0.399,12000
372,0.235,74.74,14.31,0.399,13000
422,0.071,52.783,5.171,0.317,14000
311,0.36,48.049,5.608,0.413,1000
444,0.271,96.628,4.529,0.441,5000
459,0.261,89.729,3.407,0.439,7000
463,0.231,85.593,5.791,0.391,9000
465.5,0.243,91.701,4.367,0.471,9500
471,0.194,95.463,3.623,0.416,10000
480,0.236,90.842,12.514,0.364,11000
480,0.236,90.842,12.514,0.364,12000
480,0.236,90.842,12.514,0.364,13000
525,0.203,76.48,5.303,0.356,14000
365,0.289,100.477,3.029,0.449,1000
526,0.265,89.112,5.268,0.47,4000
560,0.161,110.396,4.56,0.357,5000
573,0.337,90.506,2.184,0.465,7000
580,0.308,97.84,2.776,0.487,11000
580,0.308,97.84,2.776,0.487,12000
580,0.308,97.84,2.776,0.487,13000
587.5,0.234,86.024,10.499,0.33,14000
211,0.23,104.407,3.581,0.473,1000
342,0.26,77.276,5.114,0.448,5000
355.5,0.247,83.81,3.145,0.454,7000
359.5,0.235,93.206,3.497,0.485,9000
359.5,0.235,93.206,3.497,0.485,9500
362.5,0.23,96.378,4.18,0.455,10000
368.5,0.272,91.568,4.765,0.45,11000
368.5,0.272,91.568,4.765,0.45,12000
368.5,0.272,91.568,4.765,0.45,13000
444,0.325,24.538,3.683,0.352,14000
296.5,0.219,93.663,6.644,0.413,1000
453,0.191,93.04,8.535,0.366,5000
464,0.208,105.452,3.818,0.407,7000
468,0.142,86.527,8.825,0.296,9000
468,0.142,86.527,8.825,0.296,9500
474.5,0.202,94.994,9.63,0.347,10000
474.5,0.202,94.994,9.63,0.347,11000
474.5,0.202,94.994,9.63,0.347,12000
474.5,0.202,94.994,9.63,0.347,13000
342.5,0.193,84.138,3.631,0.453,1000
460,0.326,80.526,6.895,0.532,5000
480,0.326,77.698,2.102,0.58,7000
487,0.274,83.543,2.33,0.532,9000
487,0.274,83.543,2.33,0.532,9500
490,0.266,86.954,2.687,0.555,10000
493,0.234,73.353,6.058,0.396,11000
493,0.234,73.353,6.058,0.396,12000
493,0.234,73.353,6.058,0.396,13000
543,0.181,103.112,4.921,0.418,14000
282,0.276,86.118,3.661,0.453,1000
419.5,0.411,84.389,5.326,0.463,5000
437,0.335,87.523,4.169,0.482,7000
444,0.332,88.412,3.78,0.473,9000
444,0.332,88.412,3.78,0.473,9500
446.5,0.416,89.728,5.422,0.484,10000
455,0.184,65.782,29.196,0.329,11000
455,0.184,65.782,29.196,0.329,12000
455,0.184,65.782,29.196,0.329,13000
479,0.227,43.67,18.848,0.334,14000
280.5,0.341,44.454,16.512,0.304,1000
429,0.237,86.107,4.617,0.411,5000
439.5,0.302,81.724,2.241,0.582,7000
445,0.249,99.28,3.229,0.534,9000
445,0.249,99.28,3.229,0.534,9500
448,0.237,115.081,4.478,0.501,10000
450,0.265,80.558,13.029,0.374,11000
450,0.265,80.558,13.029,0.374,12000
450,0.265,80.558,13.029,0.374,13000
500,0.173,87.453,12.173,0.359,14000
170.5,0.138,64.729,7.509,0.466,1000
302,0.329,101.743,4.42,0.455,5000
316,0.35,92.095,2.571,0.584,7000
320,0.265,100.42,3.782,0.473,9000
320,0.265,100.42,3.782,0.473,9500
323,0.272,93.726,3.999,0.466,10000
329,0.309,76.045,9.754,0.384,11000
329,0.309,76.045,9.754,0.384,12000
329,0.309,76.045,9.754,0.384,13000
158,0.266,80.319,9.828,0.428,2000
184.5,0.291,75.729,16.444,0.364,3000
199,0.314,76.018,12.759,0.374,5000
203,0.3,57.337,7.85,0.456,7000
207,0.33,69.953,12.118,0.359,9000
207,0.33,69.953,12.118,0.359,9500
209,0.311,61.21,12.414,0.328,10000
216,0.336,35.745,30.593,0.21,11000
220.5,0.283,39.393,17.84,0.318,12000
220.5,0.283,39.393,17.84,0.318,13000
235,0.012,19.814,58.081,0.064,14000
381,0.301,78.375,3.631,0.465,1000
542.5,0.134,67.702,12.001,0.363,4000
568,0.426,71.481,1.856,0.524,7000
572,0.065,76.794,5.902,0.332,9000
572,0.065,76.794,5.902,0.332,9500
576.5,0.11,77.622,10.431,0.356,14000
163,0.231,104.71,5.191,0.461,1000
301,0.265,96.677,4.247,0.481,5000
315,0.267,89.413,4.023,0.453,7000
319,0.238,97.123,3.995,0.423,9000
319,0.238,97.123,3.995,0.423,9500
321.5,0.242,93.533,3.803,0.436,10000
327,0.278,89.501,5.535,0.413,11000
327,0.278,89.501,5.535,0.413,12000
327,0.278,89.501,5.535,0.413,13000
399,0,80.83,8.834,0.279,14000
292,0.275,81.295,4.452,0.438,1000
443,0.283,69.945,5.966,0.423,5000
458,0.241,107.858,3.591,0.546,7000
462.5,0.154,92.051,7.675,0.403,9000
462.5,0.154,92.051,7.675,0.403,9500
469,0.21,80.834,11.873,0.359,10000
475,0.268,107.633,18.06,0.351,11000
475,0.268,107.633,18.06,0.351,12000
475,0.268,107.633,18.06,0.351,13000
263,0.3,71.248,8.838,0.467,1000
401,0.291,81.089,4.843,0.493,5000
412,0.296,77.812,2.652,0.574,7000
415,0.278,86.139,5.62,0.463,9000
415,0.278,86.139,5.62,0.463,9500
418,0.285,96.879,3.275,0.475,10000
421,0.219,85.111,5.121,0.419,11000
422,0.239,96.688,5.432,0.47,12000
422,0.239,96.688,5.432,0.47,13000
479,0.338,49.124,21.95,0.435,14000
316,0.259,88.599,3.985,0.432,1000
441,0.218,101.43,2.753,0.493,5000
453.5,0.191,93.217,2.88,0.49,7000
458,0.15,71.318,6.011,0.39,9000
462,0.194,99.631,4.024,0.434,9500
464,0.164,98.971,3.354,0.451,10000
471,0.206,87.284,8.169,0.352,11000
471,0.206,87.284,8.169,0.352,12000
471,0.206,87.284,8.169,0.352,13000
494,0.143,112.645,7.249,0.38,14000
445,0.326,51.755,3.29,0.45,1000
618,0.154,104.206,5.431,0.376,5000
629.5,0.142,87.069,2.303,0.409,7000
634,0.282,32.32,3.235,0.349,9000
634,0.282,32.32,3.235,0.349,9500
642,0.191,44.178,3.125,0.299,10000
642,0.191,44.178,3.125,0.299,11000
642,0.191,44.178,3.125,0.299,12000
642,0.191,44.178,3.125,0.299,13000
649,0.077,119.643,4.767,0.366,14000
375,0.091,96.394,4.265,0.226,1000
496.5,0.201,106.135,2.217,0.391,5000
516.5,0.195,90.001,3.256,0.364,7000
523,0.177,113.74,3.003,0.38,9000
523,0.177,113.74,3.003,0.38,9500
527.5,0.19,124.243,2.874,0.364,10000
531,0.153,110.74,4.34,0.317,11000
531,0.153,110.74,4.34,0.317,12000
531,0.153,110.74,4.34,0.317,13000
562,0.108,95.954,6.212,0.257,14000
514,0.226,115.879,2.695,0.526,4000
550,0.168,96.469,5.294,0.381,5000
565,0.068,90.636,4.711,0.347,7000
572,0.137,107.621,4.407,0.433,9000
572,0.137,107.621,4.407,0.433,9500
574,0.097,110.915,5.294,0.371,10000
576.5,0.076,115.695,4.911,0.364,14000
436,0.23,96.472,3.578,0.459,5000
452,0.228,100.556,3.183,0.496,7000
461,0.171,106.48,3.475,0.463,9000
461,0.171,106.48,3.475,0.463,9500
465,0.169,106.709,3.31,0.42,10000
473,0.131,107.228,7.995,0.335,11000
473,0.131,107.228,7.995,0.335,12000
473,0.131,107.228,7.995,0.335,13000
407.5,0.196,69.396,3.89,0.397,1000
536,0.067,80.045,9.916,0.287,4000
565,0.148,92.905,8.885,0.35,5000
577,0.176,108.829,3.192,0.499,7000
579.5,0.114,94.845,6.312,0.36,9000
579.5,0.114,94.845,6.312,0.36,9500
588,0.237,61.832,8.542,0.327,10000
596.5,0.133,90.241,6.711,0.314,11000
596.5,0.133,90.241,6.711,0.314,12000
596.5,0.133,90.241,6.711,0.314,13000
600,0.314,59.558,8.702,0.377,14000
198,0.24,79.232,5.825,0.468,1000
330.5,0.293,94.195,13.323,0.465,5000
344,0.267,89.426,5.438,0.478,7000
350,0.226,100.938,7.968,0.455,10000
352,0.189,92.001,11.929,0.419,11000
355.5,0.336,72.374,19.206,0.189,12000
355.5,0.336,72.374,19.206,0.189,13000
403.5,0.094,34.721,91.617,0.197,14000
151.5,0.235,99.498,8.302,0.465,1000
297,0.263,79.06,5.525,0.477,5000
311,0.251,90.025,3.486,0.551,7000
316,0.174,99.104,3.531,0.492,9000
316,0.174,99.104,3.531,0.492,9500
319.5,0.21,91.905,5.189,0.518,10000
323.5,0.309,70.854,9.003,0.467,11000
323.5,0.309,70.854,9.003,0.467,12000
323.5,0.309,70.854,9.003,0.467,13000
361.5,0.129,35.486,8.689,0.417,14000
222.5,0.23,93.463,5.12,0.472,2000
245,0.236,101.704,6.664,0.451,3000
252.5,0.241,101.536,4.38,0.474,5000
253.5,0.207,88.236,6.193,0.404,6000
263,0.306,45.096,38.666,0.413,10000
282,0.271,49.382,26.503,0.406,11000
294,0.186,73.178,16.952,0.377,12000
294,0.186,73.178,16.952,0.377,13000
300,0.139,45.934,20.2,0.299,14000
364,0.475,65.67,6.302,0.567,1000
508,0.264,88.992,3.783,0.45,5000
525,0.229,100.024,2.095,0.53,7000
531,0.119,100.666,7.744,0.408,9000
531,0.119,100.666,7.744,0.408,9500
536.5,0.144,106.772,4.974,0.444,10000
541,0.207,87.972,10.013,0.391,11000
541,0.207,87.972,10.013,0.391,12000
541,0.207,87.972,10.013,0.391,13000
555,0.226,60.12,21.678,0.514,14000
127,0.268,57.248,1.828,0.532,2000
146,0.26,63.282,1.824,0.53,3000
